ID,name,display,type,sex,art,art2,art3,nationalität,migration,engagement,engagement2,follower,alter,Projekt,Management
Respekt,Gemeinnützige Respekt! Kein Platz für Rassismus GmbH,Gemeinnützige Respekt! Kein Platz für Rassismus GmbH,2,99,99,99,99,99,99,5,8,99,99,2,99
RFA,Rollis für Afrika e.V.,Rollis für Afrika,2,99,99,99,99,99,99,6,99,99,99,2,99
RHH,Sat1 - Ran hilft Haiti,Sat1 - Ran hilft Haiti,2,99,99,99,99,99,99,8,99,99,99,1,99
Romee,Romee,Romee,1,1,1,3,99,1,1,99,99,4,2,1,30
RonjaMaltzahn,Ronja Maltzahn,Ronja Maltzahn,1,2,1,99,99,1,2,99,99,1,2,2,99
RTR,Race to Raise,Race to Raise,2,99,99,99,99,99,99,8,99,99,99,1,99
SalwaBenz,Salwa Benz,Salwa Benz,1,2,4,5,99,1,1,99,99,2,2,1,99
SG,Straßengezwitscher e.V.,Straßengezwitscher,2,99,99,99,99,99,99,5,8,99,99,2,99
SH,Social Heartbeat,Social Heartbeat,2,99,99,99,99,99,99,5,8,99,99,2,99
SHL,Schüler Helfen Leben e.V.,Schüler Helfen Leben,2,99,99,99,99,99,99,8,99,99,99,1,99
Sido,Sido,Sido,1,1,1,99,99,1,1,99,99,9,3,1,3
SimonBus,Simon Bus,Simon Bus,1,1,4,99,99,1,2,99,99,1,99,1,27
SKOA,Smiling Kids of Africa,Smiling Kids of Africa,2,99,99,99,99,99,99,2,99,99,99,1,99
Smudo,Smudo,Smudo,1,1,1,99,99,1,2,99,99,5,4,3,17
Sonnenblume,Sonnenblume e.V.,Sonnenblume,2,99,99,99,99,99,99,2,99,99,99,1,99
SOSKinderdorf,SOS-Kinderdorf e.V.,SOS-Kinderdorf,2,99,99,99,99,99,99,2,99,99,99,1,99
SOSM,SOS Mediterranee Deutschland e.V.,SOS Mediterranee Deutschland,2,99,99,99,99,99,99,5,99,99,99,3,99
SS,Sea Shepherd Deutschland e.V,Sea Shepherd Deutschland,2,99,99,99,99,99,99,4,99,99,99,2,99
SW,Sea-Watch e.V.,Sea-Watch,2,99,99,99,99,99,99,5,8,99,99,2,99
TDF,Terre des Femmes – Menschenrechte für die Frau e.V.,Terre des Femmes,2,99,99,99,99,99,99,8,99,99,99,2,99
TelefonicaStiftung,Telefonica Stiftung,Telefonica Stiftung,2,99,99,99,99,99,99,2,1,99,99,1,99
TilSchweiger,Til Schweiger Foundation,Til Schweiger Foundation,2,99,99,99,99,99,99,2,99,99,99,3,99
TPOTH,The Power of the Hearts,The Power of the Hearts,2,99,99,99,99,99,99,1,99,99,99,2,99
Trettmann,Trettmann,Trettmann,1,1,1,99,99,1,2,99,99,8,4,1,13
UC,Urban Culture/DeluxeKidz e.V,Urban Culture/DeluxeKidz,2,99,99,99,99,99,99,2,99,99,99,1,99
UD,dieUmweltDruckerei GmbH,dieUmweltDruckerei GmbH,2,99,99,99,99,99,99,4,99,99,99,2,99
UNICEF,Deutsches Komitee für UNICEF e.V.,Deutsches Komitee für UNICEF,2,99,99,99,99,99,99,2,99,99,99,1,99
Unteilbar,#unteilbar Initiative,#unteilbar Initiative,2,99,99,99,99,99,99,5,8,99,99,3,99
UweKaa,Uwe Kaa,Uwe Kaa,1,1,1,99,99,1,2,99,99,1,4,2,10
VanDeForst,Van de Forst,Van de Forst,1,2,1,99,99,1,2,99,99,1,2,2,99
Vangardist,Vangardist Media GmbH,Vangardist Media GmbH,2,99,99,99,99,99,99,8,99,99,99,2,99
VCA,Viva con Agua de Sankt Pauli e.V,Viva con Agua de Sankt Pauli,2,99,99,99,99,99,99,8,99,99,99,3,99
VFC,Visions for Children e.V.,Visions for Children,2,99,99,99,99,99,99,2,99,99,99,1,99
VisaVie,Visa Vie,Visa Vie,1,2,1,4,2,1,3,99,99,5,3,1,16
Voice,The VOICE Refugee Forum,The VOICE Refugee Forum,2,99,99,99,99,99,99,5,8,99,99,2,99
WR,Weißer Ring Gemeinnütziger Verein zur Unterstützung von Kriminalitätsopfern und zur Verhütung von Straftaten e. V.,Weißer Ring,2,99,99,99,99,99,99,8,99,99,99,1,99
